ORF	H2O2 10m 	H2O2 20m 	H2O2 30m 	H2O2 40m	H2O2 50m 	H2O2 60m 	H2O2 80m 	H2O2 100m 	H2O2 120m 	H2O2 160m 
YMR294W-A	-0.6	-1.4	-0.79	-	-0.6	-0.67	-0.07	-0.32	-0.25	-0.15
YMR295C	-0.56	-0.38	-0.45	-	-0.42	-0.4	-0.4	-0.22	-0.36	-0.54
YMR296C	-0.18	-0.64	-0.54	-0.4	-0.27	-0.4	-0.34	-0.04	-0.04	-0.25
YMR297W	0.58	0.98	1.43	-	0.92	1.41	0.32	0.49	0.2	0.08
YMR298W	0.75	0.25	0.34	-0.37	0.06	0.03	-0.25	-0.2	-0.2	-0.38
YMR299C	0.49	0.54	0.36	-	-0.07	0.24	-0.38	-0.04	-0.29	-0.32
YMR300C	0.01	-0.25	-0.15	0.09	0.25	0.16	0.19	0.56	0.42	-0.03
YMR301C	-0.03	-0.45	-0.36	-	-0.25	0.03	-0.4	0.24	-0.4	-0.58
YMR302C	0.89	0.75	1.33	0.81	1.09	0.85	0.18	0.38	-0.07	-0.12
YMR303C	-0.1	-0.49	-0.76	-	-0.79	-0.43	-0.62	-0.36	-0.51	-1
YMR304C-A	-0.71	-1.22	-1.25	-	-0.81	-0.54	-0.36	-0.36	-1.47	-0.27
YMR304W	1.18	1.37	1.23	0.6	1.18	0.75	0.14	0.52	-0.06	-0.15
YMR305C	-0.03	-0.81	-1.12	-	-0.6	-0.07	-0.81	-0.54	-0.45	-0.64
YMR306C-A	0.08	-0.42	0.23	-	-0.3	-0.09	-0.6	0.08	0.15	0.26
YMR306W	-0.32	-0.58	-0.03	0.39	-0.25	-0.3	-	0.16	0.15	0.23
YMR307W	0.3	-0.07	-0.86	-0.5	-0.38	-0.2	-0.06	-0.58	0.11	0.39
YMR308C	-0.17	-0.58	-0.51	-0.99	-0.36	-0.51	0.1	-0.47	0.26	0.12
YMR309C	-0.71	-0.71	-0.81	0.3	-0.56	-0.49	-0.18	-0.47	-0.18	0.01
YMR310C	-1.43	-1.43	-2	-1.36	-0.69	-0.67	0.11	-0.54	0.08	-0.12
YMR311C	0.12	0.43	0.77	0.52	0.29	0.4	0.38	-0.2	0.08	0.3
YMR312W	-0.65	-0.88	-0.74	-0.82	-0.46	-0.26	0.21	-0.34	0.22	0.1
YMR313C	-0.27	0.83	0.39	-0.09	0.3	-0.09	-0.18	-0.18	-0.14	-0.18
YMR314W	0.32	0.42	0.61	0.5	0.65	0.31	0.31	-0.69	0.2	0.08
YMR315W	2.38	3.48	2.6	2.58	2.49	2.33	1.54	1.01	1.04	1.01
YMR316C-A	-0.42	0.08	-0.01	-	-0.29	-0.43	-0.14	-0.18	-0.47	-0.04
YMR316C-B	0.04	0.31	0.18	-	-	-0.43	-0.18	-0.01	-0.22	-0.3
YMR316W	0.56	-0.01	0.18	-0.02	-0.09	-0.49	0.06	-0.79	-0.17	0.31
YMR317W	-0.36	0.52	1.31	-0.17	-0.64	-0.23	-0.14	-0.23	-0.14	-0.09
YMR318C	1.74	0.57	1.59	0.5	1.22	0.76	0.59	0.12	0.63	0.9
YMR319C	1.62	1.15	1.31	-	-1.22	-0.96	-0.53	-0.69	-0.79	-0.58
YMR320W	-0.56	-1.32	0.01	0.24	-0.04	0.04	0.16	-0.51	0.24	0.38
YMR321C	0.45	0.31	-0.45	-	-0.23	-0.04	-0.07	-0.49	0.01	0.01
YMR322C	0.1	-0.3	-0.45	0.27	1.13	0.39	0.77	-0.3	0.58	0.32
YMR323W	0.14	-0.02	-0.48	-0.07	-0.65	-0.27	0.09	-0.25	0.13	0.18
YMR324C	0.44	0.56	0.1	0.48	-0.23	0.12	-0.42	0.18	-0.14	-0.74
YMR325W	-0.04	0.03	-0.14	-	-0.22	-0.07	0.07	0.26	-0.51	-0.01
YMR326C	-0.04	0.36	-0.49	-1.4	-0.33	-0.25	0.06	0.3	0.22	0.11
YNL001W	-0.17	-0.15	0.04	0.47	-0.27	-0.09	0.12	-0.29	0.14	0.07
YNL002C	-1	-1.79	-1.94	-	-0.64	-0.49	0.03	-0.42	-0.12	-0.14
YNL003C	0.03	-	0.36	-0.07	-0.01	0.25	0.44	-0.38	0.25	0.31
YNL004W	0.11	-0.03	0.16	-	-0.17	0.12	-0.03	-0.34	-0.25	-0.06
YNL005C	0.04	0.65	0.25	0.37	0.2	-0.2	0.5	0.54	0.46	0.34
YNL006W	-0.07	-1.18	0.66	0.02	0.1	-0.01	-0.03	0.1	0.03	0.15
YNL007C	0.82	1.36	0.82	0.08	-0.15	-0.76	-0.42	-0.23	-0.27	0.03
YNL008C	0.06	0.21	0.21	0.58	-0.12	-0.17	-0.18	-0.13	-0.05	-0.07
YNL009W	0.54	0.53	0.04	0.04	0.37	-0.17	0.37	0.34	0.52	0.39
YNL010W	-0.56	-1.15	-0.97	0.41	-1.03	-0.62	-0.06	-0.47	-0.34	-0.17
YNL011C	0.26	1.14	1.09	1.04	0.32	0.03	0.42	0.51	0.49	0.4
YNL012W	0.6	0.19	0.9	1.63	0.31	0.4	0.3	0.36	0.23	0.06
YNL013C	-0.49	-0.47	-0.64	-0.27	-0.43	-0.34	0.24	0.48	0.12	0.1
YNL014W	-0.92	-0.1	-0.27	-2.47	0.45	-0.3	0.01	0.2	-0.18	0.12
YNL015W	0.43	1.32	2.08	3.3	1.88	1.2	1.05	0.93	1.28	1.1
YNL016W	-	-0.55	-0.3	0.66	-0.12	-0.18	-0.15	0.12	-0.23	0.05
YNL017C	0.29	-	-0.42	-0.36	-1.03	-0.38	-0.94	0.04	0.44	-
YNL018C	-1.36	-1.94	-0.15	-	-1.09	-0.32	-0.64	0.33	0.01	-0.29
YNL019C	0.96	-0.12	0.18	-0.3	-0.25	-0.04	-0.4	-0.09	-0.36	-0.09
YNL020C	-0.41	-0.19	-0.22	-	-0.33	-0.3	-0.13	0.03	-	-0.17
YNL021W	-0.23	-0.89	-0.2	-0.19	-0.42	-0.22	-0.23	-0.18	-0.29	-0.06
YNL022C	-1.51	-1.09	-1.84	-	-0.6	-0.49	-0.22	0.01	-0.12	0.01
YNL023C	-0.74	-0.34	-0.2	-1.04	-0.22	-0.15	0.12	0.03	-0.1	-0.1
YNL024C	-0.64	-1.69	-1	-	-0.51	-0.42	-0.32	0.25	-0.18	-
YNL025C	0.36	0.16	0.93	-0.69	0.1	-0.2	-0.2	-0.04	-	0.07
YNL026W	-0.29	0.62	0.23	-	0.28	0.08	-0.07	0.19	-0.06	0.03
YNL027W	-0.22	-0.2	0.2	-0.33	0.04	-0.22	-0.12	0.03	-0.15	0.06
YNL028W	-0.36	-0.14	-0.84	-	-0.27	0.18	0.03	0.43	0.08	0.12
YNL029C	-0.51	-1.43	-1.4	-0.61	-1.06	-0.84	-0.03	0.28	0.16	-0.09
YNL030W	-1.32	-1.47	-1.56	-1.46	-0.79	-0.34	-0.4	-0.76	-0.17	0.06
YNL031C	-1.4	-1.56	-1.56	-0.55	-0.67	-0.67	-0.14	-0.17	-	-0.01
YNL032W	-0.62	-1	-0.64	0.18	-0.56	-0.25	-0.22	-0.58	-0.15	-0.09
YNL033W	-0.79	-0.62	-0.81	-0.98	-0.06	-0.51	-0.2	-0.03	-0.29	-0.38
YNL034W	-0.92	-3.84	-0.81	0.14	-0.36	-0.79	-0.06	-1	-0.22	-0.34
YNL035C	-0.89	-0.76	-0.67	-0.15	-0.42	-0.84	-0.3	0.21	-0.17	-0.34
YNL036W	1.34	0.99	0.71	1.85	1.4	1.47	1.53	1.03	0.93	0.94
YNL037C	-0.3	-0.23	0.1	0.13	-	0.31	0.18	0.43	0.34	0.03
YNL038W	-0.09	-0.92	-0.29	0.56	-0.56	-0.3	-0.12	-0.67	-0.2	-0.23
YNL039W	-0.27	-0.22	-0.4	-0.08	-0.23	-0.64	-0.22	0.24	-0.14	-0.17
YNL040W	-0.89	-0.62	-0.6	0.19	0.07	0.07	0.23	0.04	-0.36	-0.18
YNL041C	0.16	0.49	0.18	0.14	-0.1	-0.29	-0.12	-0.23	-0.2	-0.04
YNL042W	-0.29	0.18	-0.29	-	0.11	-0.23	-0.18	-0.43	-0.38	-0.14
YNL043C	-0.43	0.03	-0.34	-0.3	-0.86	-0.47	-0.29	-0.45	-0.18	-0.18
YNL044W	-0.14	-0.69	-0.34	-	-0.71	-0.43	-0.09	-0.42	-0.12	-0.23
YNL045W	-0.07	0.77	0.84	-0.23	0.49	0.44	0.01	-0.06	0.07	0.23
YNL046W	-0.6	-0.6	-0.97	-	-0.36	-0.74	-0.64	-0.58	-0.12	-0.23
YNL047C	-0.4	-0.76	-0.81	-0.01	-0.4	-0.27	-0.4	-0.29	-0.25	-0.29
YNL048W	0.01	0.44	0.14	-	0.23	-0.07	-0.04	-0.36	-0.2	-0.01
YNL049C	-0.01	0.29	-0.09	-0.66	-0.22	-0.07	-0.25	-0.18	-0.27	-0.12
YNL050C	-1.61	-0.47	-0.47	0.21	-0.14	-0.54	-0.62	-0.31	-0.58	-0.2
YNL051W	0.51	0.93	0.75	0.74	0.03	0.16	-0.06	-0.18	0.03	0.12
YNL052W	-1.56	-	-0.97	-	-0.1	-0.2	-0.1	-0.47	-0.07	0.04
YNL053W	0.12	-0.23	-0.4	-0.74	-0.23	-0.4	-0.23	-0.22	-0.09	-0.64
YNL054W	-0.03	-0.9	0.42	-0.25	0.27	0.22	0.07	0.28	-0.05	0.01
YNL055C	-	0.78	0.9	0.16	1.1	1.32	0.89	0.67	0.97	0.14
YNL056W	-0.22	-0.25	-0.58	-0.43	0.24	0.2	-0.18	0.14	-	-0.06
YNL057W	0.28	0.14	-0.04	-0.34	-0.47	-0.4	-0.07	-0.17	0.32	-0.12
YNL058C	-0.14	-0.23	-0.18	-0.27	-0.69	-0.79	-0.43	0.18	-0.22	-0.14
YNL059C	0.66	0.19	0.07	0.24	0.01	-0.09	-0.36	-0.38	-0.06	-0.54
YNL061W	1.6	-2.25	-2.32	-1.64	-0.56	-0.42	-0.51	-0.38	-0.36	-0.79
YNL062C	-0.76	-1.51	-0.92	-0.67	-0.17	-0.15	-0.49	-0.1	-0.51	-0.92
YNL063W	0.31	-2.12	-1.18	-0.89	-0.03	0.03	-0.27	-0.38	-0.32	-0.62
YNL064C	-0.23	-0.6	-0.36	-0.54	-0.62	-0.51	-1.06	-0.47	-0.58	-0.92
YNL065W	-1.56	-1.89	-0.58	0.66	0.3	0.32	0.24	0.03	-0.23	-0.54
YNL066W	-0.64	-0.81	-0.74	-	-1.12	-0.45	-0.94	-0.56	-0.62	-0.92
YNL067W	0.06	-0.67	-0.74	0.86	-0.12	0.12	0.01	0.03	0.03	-0.4
YNL068C	-0.47	-0.09	-0.62	-	-0.23	-0.14	-0.29	0.14	-0.36	-0.38
YNL069C	-0.12	-0.92	-1.25	0.31	-0.47	-0.38	-0.42	-0.18	-0.07	-0.27
YNL070W	0.77	0.53	0.76	-	0.33	0.31	-0.25	-0.01	-0.17	-0.49
YNL071W	0.12	0.38	0.7	0.35	0.33	0.06	0.07	0.23	-0.19	-0.12
YNL072W	0.19	-0.03	-0.29	-	-0.29	-0.74	-0.79	-0.17	-0.69	-1.06
YNL073W	0.69	0.07	0.04	-0.15	0.44	0.41	0.03	0.24	0.12	0.19
YNL074C	0.32	0.73	0.58	-	0.58	0.38	-0.22	0.1	-0.3	-0.34
YNL075W	-0.54	-0.81	-0.43	0.9	-0.54	-0.25	-0.51	-0.15	-0.34	-0.67
YNL076W	0.07	0.26	0.04	-	0.29	-0.03	-0.42	-0.04	-0.62	-0.42
YNL077W	-0.4	-0.67	0.21	0.06	-0.12	-0.37	-0.04	-0.31	-0.25	0.13
YNL078W	-0.69	-0.6	-0.76	-0.89	-1.06	-0.76	-1.12	-0.62	-0.22	-0.25
YNL079C	-	0.06	0.39	-0.29	-0.14	0.57	0.62	-0.3	0.5	0.45
YNL080C	-0.29	-0.07	-0.64	-0.1	-0.47	-0.38	-0.22	-0.32	-0.07	-0.12
YNL081C	-0.03	0.7	0.64	0.64	0.59	0.4	0.51	0.14	0.82	0.52
YNL082W	0.44	0.72	0.49	0.9	0.32	0.18	0.24	0.07	0.04	0.07
YNL083W	0.24	1.45	0.15	0.24	0.25	0.1	0.39	-0.2	0.21	0.25
YNL084C	0.28	1.06	0.52	0.75	0.42	0.2	0.15	-0.07	-	0.24
YNL085W	-	0.04	0.25	0.4	-0.15	-0.29	0.16	-0.3	0.08	0.08
YNL086W	-0.43	0.84	-0.43	0.01	0.19	0.19	0.39	0.11	0.14	0.16
YNL087W	1.24	0.04	-1.03	-1.03	-1.06	-0.74	-0.06	-0.56	-0.2	-0.07
YNL088W	-0.22	-0.14	-0.52	0.48	0.21	-	0.16	0.15	0.03	0.27
YNL089C	-1.09	-0.6	-0.81	0.1	0.01	0.12	0.43	-0.1	0.31	0.23
YNL090W	-0.62	-0.34	-0.56	-	0.01	0.1	0.19	-0.42	0.12	0.08
YNL091W	-0.45	-0.38	-0.23	0.43	-0.25	-0.25	-	-0.14	-0.06	0.15
YNL092W	-0.81	0.2	1.33	-	0.23	0.75	0.54	0.33	0.56	0.69
YNL093W	0.92	0.43	-	0.48	2	1.41	1.16	0.46	0.94	1.16
YNL094W	0.08	0.11	0.63	-	0.77	0.42	0.23	-0.15	0.12	0.15
YNL095C	-1.06	-0.09	-0.6	0.31	-0.51	-0.23	0.18	-0.3	-0.07	0.08
YNL096C	-0.49	-1.22	-0.94	-	-0.64	-0.58	-0.34	-0.42	-0.03	-0.03
YNL097C	-0.47	0.64	-0.58	-0.2	-0.79	-0.97	0.18	-0.2	0.24	0.43
YNL098C	0.06	-0.17	0.33	-	-0.15	-0.49	-0.1	-0.22	0.01	0.2
YNL099C	-0.49	-0.06	-0.47	0.31	-0.3	-0.14	0.04	-0.27	-0.09	0.03
YNL100W	0.12	0.33	0.68	-	0.72	0.42	0.14	-0.12	0.14	0.32
YNL101W	0.03	0.39	-0.07	-0.29	-0.09	-0.29	0.2	0.44	0.14	0.03
YNL102W	-0.7	-0.78	-0.53	-	-0.04	-0.37	-0.18	-0.21	0.03	-0.08
YNL103W	0.23	-0.04	-0.01	0.39	-0.09	-0.36	0.14	0.42	0.03	0.08
YNL104C	1.74	0.86	0.86	0.19	0.14	0.45	0.01	0.2	-0.07	0.18
YNL105W	-0.2	-0.12	0.08	-0.14	-0.29	-0.64	-0.09	0.15	-0.06	-0.06
YNL106C	-	-0.26	-0.45	-0.15	-0.29	-0.39	-0.21	-0.18	-0.39	-0.29
YNL107W	-0.54	-0.25	-0.4	-0.14	0.03	-0.17	0.19	0.53	0.34	0.06
YNL108C	-0.69	-3.84	-0.71	-0.58	-0.15	-0.32	-0.27	-0.18	-0.3	-0.23
YNL109W	-0.6	-0.69	-0.6	-0.09	0.1	-0.58	-0.07	0.21	-0.1	-0.15
YNL110C	-1.6	-2.56	-2.18	-0.69	-1.03	-0.54	-0.2	-0.12	-0.17	-0.17
YNL111C	-1.43	-0.94	-1.09	0.71	-0.12	-0.2	0.04	0.33	0.28	-0.01
YNL112W	-0.94	-1.94	-0.84	-0.58	-1.32	-1.25	-0.51	-0.1	-0.29	-0.15
YNL113W	-1.4	-2.94	-1.89	-0.56	-0.49	-0.23	0.15	-0.03	0.21	0.08
YNL114C	-1.6	-1.56	-1.94	-	-0.43	-0.22	0.04	0.08	-0.06	0.01
YNL115C	0.8	1.23	0.53	1.2	0.53	0.56	0.65	0.72	0.55	0.74
YNL116W	-0.15	-1.47	-0.64	-	0.29	-0.07	0.1	0.4	-0.12	-0.01
YNL117W	-0.54	-2.25	-1.09	-1.12	-0.12	0.44	-0.25	0.08	-0.01	0.32
YNL118C	0.04	-0.01	-0.1	-	0.41	-	-0.09	0.1	-0.12	0.01
YNL119W	-0.54	-1.18	-1.56	-0.45	-0.86	-0.6	-0.54	-0.25	0.08	-0.06
YNL120C	-1.09	-1.84	-1.69	-	-0.27	-0.42	-0.29	0.11	-0.18	-0.12
YNL121C	0.08	0.43	0.57	0.75	0.15	-0.25	-0.06	0.17	-0.1	0.19
YNL122C	0.01	1.1	0.75	-	0.57	0.3	0.46	0.46	-0.32	0.54
YNL123W	-0.84	0.01	-0.32	0.46	-0.17	-0.4	-0.29	0.01	-0.12	-0.14
YNL124W	-0.81	-1.64	-1.09	-	-0.23	-0.51	-0.4	0.14	-0.04	-0.38
YNL125C	-0.3	-0.43	-0.56	-0.38	-0.18	-0.58	0.23	0.41	0.16	0.07
YNL126W	-0.67	-	-1.06	0.31	-0.74	-0.38	-	-0.47	-0.3	-0.06
YNL127W	0.33	0.62	-0.07	0.25	0.18	-0.47	0.07	0.24	-0.06	-0.17
YNL128W	0.28	-0.34	-0.07	0.31	-0.51	-0.4	0.04	-0.42	-0.3	-0.32
YNL129W	0.57	0.44	-0.07	0.83	-0.27	-0.49	-0.18	-0.22	-0.17	-0.3
YNL130C	0.31	0.41	0.39	0.86	-0.03	-0.25	-0.18	-0.51	-0.23	-0.25
YNL131W	0.33	0.65	0.48	1.72	0.2	-0.32	0.12	0.24	0.08	0.1
YNL132W	-1.32	-1.94	-1.56	-1.6	-0.71	-0.64	-1.32	-0.12	-0.34	-0.34
YNL133C	0.33	0.12	-0.06	0.12	-0.15	-0.27	0.14	0.36	0.11	-0.01
YNL134C	3.33	3.52	3.06	2.86	2.72	2.34	1.55	1.79	1.63	2.13
YNL135C	-0.4	-0.67	-0.86	0.32	-0.4	-0.43	0.15	0.39	0.19	-0.06
YNL136W	-0.4	0.07	-0.1	-	-0.29	-0.34	-0.18	-0.38	-0.4	-0.29
YNL137C	-0.09	0.73	0.29	-0.29	0.19	0.03	0.21	-	0.16	0.33
YNL138W	0.1	0.88	0.5	-	0.72	0.62	0.23	0.04	0.04	-0.03
YNL139C	-0.27	0.46	-0.58	0.01	-0.34	-0.29	-0.43	-0.12	-0.22	0.12
YNL140C	-0.58	-0.38	-0.56	-	-0.22	-0.07	0.1	-0.23	-0.14	-0.03
YNL141W	-1.79	-1.47	-2.84	-1.36	-1.15	-0.51	-0.2	-0.32	-0.2	-0.29
YNL142W	-1.51	0.16	-1.43	-	-0.97	-0.43	0.23	-0.06	0.1	-0.1
YNL143C	-1.94	-1.15	-1.51	-0.6	-0.81	-0.67	-0.54	-0.32	-0.4	-0.49
YNL144C	-0.76	0.12	0.1	-	0.06	-0.32	0.18	-0.25	-0.69	0.14
YNL145W	-0.62	-0.58	-0.43	0.29	-0.49	-0.62	-0.4	-0.32	0.15	-
YNL146W	0.56	1.3	1.05	-	0.79	0.55	0.08	0.21	0.12	0.24
YNL147W	0.39	0.65	0.33	0.59	-0.12	0.06	-0.07	-0.15	0.01	0.15
YNL148C	-0.74	-0.01	-0.17	-	-0.34	-0.09	-0.1	-0.43	-0.4	-0.62
YNL149C	0.16	0.16	0.21	-0.23	0.44	0.43	-0.2	-0.23	-0.17	-0.49
YNL150W	0.08	0.01	0.23	-0.3	0.32	0.42	-0.36	-0.22	-0.36	-0.76
YNL151C	3.15	-1.84	-1.79	-1.32	-0.64	-0.27	-0.34	-0.74	-0.29	-0.4
YNL152W	-0.01	-0.67	-0.3	-0.12	-	-0.04	-0.58	-0.17	-0.71	-0.86
YNL153C	-0.09	-0.69	-0.67	-1.22	0.26	0.18	-0.14	-0.49	0.11	-0.1
YNL154C	0.81	0.5	0.36	-0.17	0.04	0.07	-0.45	0.08	-0.38	-0.54
YNL155W	0.63	1.26	1.48	0.92	1.02	0.57	-0.2	-0.34	-0.01	-0.47
YNL156C	0.77	1.18	1.38	-	1.29	1.01	0.19	0.4	0.06	-0.09
YNL157W	-1.4	0.98	1.14	0.7	0.62	0.45	0.15	-0.01	0.31	-0.2
YNL158W	0.63	-0.32	0.43	1.2	0.34	0.11	-0.3	-	-0.4	-0.67
YNL159C	-0.54	1.11	1.14	0.32	0.87	0.58	-	0.2	-0.07	-0.47
YNL160W	1.21	2.15	3.08	2.24	4.04	3.53	2.21	2.52	2.53	2.47
YNL161W	-0.07	-0.38	0.04	0.08	0.08	0.06	-0.36	0.15	-0.38	-0.58
YNL162W	-0.09	-0.94	-0.84	-	-0.45	-0.23	-0.64	-0.25	-0.29	-0.51
YNL163C	-0.77	-0.89	-0.61	-0.79	-0.08	-0.04	-0.19	0.16	-0.41	-0.26
YNL164C	-0.18	-0.12	-0.29	-	0.34	0.23	-0.27	0.11	-0.01	-0.64
YNL165W	-0.3	0.06	0.07	2.89	0.06	0.5	0.01	0.15	-0.15	-0.54
YNL166C	-0.17	-0.27	-0.47	-	0.21	0.45	-0.29	-0.15	-0.47	-0.45
YNL167C	0.7	0.34	0.41	0.32	0.36	0.16	-0.29	-0.06	-0.32	-0.6
YNL168C	0.48	0.36	-0.07	-	0.69	0.34	-0.29	-0.18	-0.58	-0.76
YNL169C	0.75	0.16	0.03	-	0.07	-	-0.42	-0.09	-0.34	-0.58
YNL170W	0.41	0.46	0.39	-	0.29	0.23	-0.49	-0.25	-0.4	-0.58
YNL171C	1	0.46	0.18	0.31	0.04	0.36	0.03	0.11	-0.06	-0.4
YNL172W	0.28	1.47	-0.18	1.06	-0.12	0.27	-0.29	0.2	-0.91	-0.49
YNL173C	0.78	1.18	0.85	0.68	0.1	0.01	0.04	-0.23	0.61	0.46
YNL174W	-1.22	-2.47	-2.84	-1.56	-1.03	-0.32	0.01	-0.3	-0.06	0.03
YNL175C	-1.03	-2.18	-2.56	-1.47	-0.86	-0.29	0.06	-0.49	0.14	-0.01
YNL176C	0.94	0.95	0.07	-0.12	-0.12	0.12	0.14	-0.04	-0.15	0.31
YNL177C	0.45	0.8	0.61	0.38	0.29	0.14	0.33	-0.34	0.46	0.45
YNL178W	-1.09	-1.84	-2.25	-	-0.97	-0.6	-0.3	-0.34	-0.04	-0.14
YNL179C	0.77	0.71	-0.1	0.07	-0.01	-0.04	0.15	-0.07	0.23	0.24
YNL180C	0.87	-0.07	-0.07	-	-0.18	-0.17	-	0.03	-0.07	-0.07
YNL181W	0.3	0.48	0.46	0.56	0.57	0.52	0.45	-0.06	0.58	0.53
YNL182C	-1.74	-2.47	-2.12	-0.86	-0.6	-0.29	-0.04	-0.15	-0.03	-0.14
YNL183C	1.12	1.34	1.04	1.02	0.8	0.4	0.39	0.08	0.38	0.42
YNL184C	0.08	0.52	-0.58	0.08	-0.86	-0.18	0.14	-0.04	0.28	0.39
YNL185C	-0.49	0.37	-	1.02	-0.14	-0.36	0.24	0.2	0.34	0.58
YNL186W	-1.4	-2	-1.25	-	-0.43	-0.47	-0.18	-0.14	-0.09	-0.12
YNL187W	-0.4	-0.43	0.06	-	-0.38	0.06	0.23	-0.2	-0.04	0.16
YNL188W	-0.62	-0.89	-0.81	-	-0.43	-0.54	-0.4	-0.62	-0.12	-0.04
YNL189W	-0.47	0.18	-0.42	0.57	-0.18	-0.06	0.11	-0.3	-0.04	-0.07
YNL190W	-0.47	-1.22	-0.36	-	0.48	0.25	0.25	-0.15	0.18	0.33
YNL191W	-1.84	-1.79	-1.12	0.79	-0.62	0.03	0.25	0.03	0.15	-0.01
YNL192W	0.5	0.62	0.42	-	0.42	-0.2	-0.17	-0.1	0.3	0.48
YNL193W	3.29	0.91	0.52	-0.01	0.45	0.46	0.65	0.12	0.31	0.52
YNL194C	0.52	-1.4	-0.49	-	0.45	0.55	0.63	-0.14	0.11	0.44
YNL195C	-	4.52	-	2.09	0.73	0.42	0.87	0.23	0.25	0.62
YNL196C	-0.1	1.73	0.01	-	0.14	0.19	-0.15	-0.27	0.19	0.08
YNL197C	-0.86	-0.04	-1.29	-0.64	-0.64	-0.29	-0.1	-0.03	-0.17	-0.01
YNL198C	-0.49	-2.56	-3.47	-0.14	-1.32	-0.4	0.01	0.04	-0.14	-
YNL199C	-0.71	-0.76	-1.03	-0.1	-0.2	-0.36	-0.17	0.18	-0.14	-0.06
YNL200C	0.43	-1.25	0.69	0.25	0.26	1.52	1.18	1.09	0.86	1.01
YNL201C	-0.27	0.44	0.14	0.4	0.14	-0.42	0.14	0.34	0.11	0.16
YNL202W	-1.09	-0.04	-0.54	0.56	-	0.08	0.31	0.56	0.28	0.39
YNL203C	0.58	-	-	-0.94	0.31	0.1	0.87	0.3	0.96	0.61
YNL204C	-0.84	-2.18	-1.18	0.58	-0.43	-0.47	0.75	-	0.65	-
YNL205C	-1.18	-0.92	-0.62	0.42	0.28	-0.34	0.23	0.32	0.25	0.14
YNL206C	-0.92	-0.3	-0.51	0.43	-0.67	-0.45	-	0.15	-0.03	0.15
YNL207W	-0.21	-0.21	-0.38	-0.56	-0.06	-0.14	-0.16	0.15	0.19	0.05
YNL208W	2.19	-	2.28	1.97	1.3	1.17	1.79	0.97	0.87	0.86
YNL209W	-0.79	-1.22	-1.51	-0.38	-0.89	-0.6	-0.56	-0.12	-0.07	-0.04
YNL210W	-0.04	-	-0.03	-	0.1	0.06	-	0.07	-0.23	-0.18
YNL211C	-0.12	0.03	0.04	0.94	-0.07	-0.22	-0.25	0.11	0.18	0.06
YNL212W	1.18	1.08	0.59	-	0.48	-0.14	-0.12	0.16	-0.17	0.04
YNL213C	0.49	0.81	0.18	0.28	0.11	-0.03	0.07	0.46	0.36	0.4
YNL214W	0.58	0.66	1.21	-	0.86	0.34	-0.04	0.15	-0.47	0.19
YNL215W	-0.15	-0.64	-0.22	-0.62	-0.81	-0.01	-0.1	0.16	-0.03	0.12
YNL216W	-1.03	-0.81	-0.51	0.59	-0.34	-0.64	-0.36	-0.09	-0.54	-0.2
YNL217W	-0.76	-1.43	-1.36	-0.29	-0.89	-0.62	-0.76	-0.36	-0.23	-0.17
YNL218W	-2.12	-0.36	-1.79	-	-0.03	-0.15	-0.54	0.12	-0.1	-0.34
YNL219C	-0.45	-0.43	-0.45	-0.56	-0.43	-0.29	-0.43	-0.03	-0.2	-0.06
YNL220W	-0.62	-0.2	-0.56	-	0.2	0.2	0.19	0.57	-0.38	0.45
YNL221C	-	-0.84	-1	0.18	-0.42	-0.54	-0.06	0.48	0.03	0.03
YNL222W	0.25	0.37	-0.04	0.76	-	0.05	0.12	0.36	0.12	-0.01
YNL223W	-0.01	-0.84	0.26	0.6	0.16	-0.07	0.06	0.16	-0.22	0.01
YNL224C	-0.12	0.32	-0.38	-0.03	-0.25	-0.18	-0.17	-0.3	-0.22	-0.38
YNL225C	0.33	0.58	-0.03	0.62	-0.18	-0.47	-0.07	0.14	-0.09	-0.15
YNL226W	-0.2	-0.92	-0.79	-0.03	-0.71	-0.27	-0.09	-0.29	-0.3	-0.2
YNL227C	-1.09	-0.92	-1.4	-0.3	-0.84	-0.45	-0.06	0.11	-0.2	-0.14
YNL228W	-1.03	-1.18	-1.32	-0.49	-0.76	-0.43	-0.07	-0.47	-0.29	-0.29
YNL229C	0.03	-0.27	-0.47	0.44	-0.12	-0.56	-0.32	0.2	-0.4	-0.06
YNL230C	-0.4	-0.1	-0.07	0.53	-0.06	-0.14	-0.14	-0.4	-0.17	-0.18
YNL231C	0.92	0.78	0.3	0.37	0.28	0.12	0.33	0.55	0.34	0.65
YNL232W	-0.81	-0.35	-0.22	-0.76	-0.58	-0.21	-0.48	-0.42	-0.05	-0.63
YNL233W	-0.56	-0.2	-0.45	-0.18	-0.15	-0.09	-0.32	-0.17	-0.2	0.04
YNL234W	-0.42	-0.18	0.97	-	0.94	0.36	0.07	-0.32	-0.29	-0.17
YNL235C	-0.01	0.88	0.16	-0.32	0.03	-0.15	-0.1	0.01	-0.2	0.12
YNL236W	-0.29	0.28	-	-	0.28	-0.4	-0.29	-0.15	-0.43	-0.25
YNL237W	0.06	1.89	-	-0.54	0.34	0.75	-0.17	-0.15	-0.04	-0.12
YNL238W	-0.22	0.26	-0.29	-	-	-0.6	-0.42	-0.42	-0.47	-0.3
YNL239W	0.96	1.4	0.78	0.44	1.03	0.56	0.33	-0.06	-0.04	0.08
