ORF	       Alkali 0m	      Alkali 10m	      Alkali 20m	      Alkali 40m	      Alkali 60m	      Alkali 80m	     Alkali 100m
YDL238C	            NULL	            NULL	           74.50	            NULL	            NULL	            NULL	            NULL
YDL239C	           17.50	           35.80	            NULL	            NULL	            0.00	            NULL	            NULL
YDL240W	           21.65	            NULL	            NULL	            3.90	            NULL	            NULL	            NULL
YDL241W	          111.45	          149.40	          182.40	          259.70	          287.20	          270.10	          293.20
YDL242W	            NULL	            NULL	            NULL	            9.40	            NULL	            NULL	            NULL
YDL243C	          132.20	          205.20	           66.40	           74.70	            NULL	          102.40	          127.50
YDL244W	           95.30	          211.40	          179.70	            NULL	            NULL	          118.20	            NULL
YDL245C	            NULL	            NULL	            NULL	            0.00	            NULL	            NULL	            NULL
YDL246C	          238.30	          620.50	          330.90	          314.20	          303.40	          351.00	          306.40
YDL247W	            8.30	          178.40	          152.70	            NULL	          148.10	            NULL	            NULL
YDL248W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDR001C	          358.55	         2556.60	         1340.40	          675.50	          940.40	         1148.40	         1106.70
YDR002W	         3792.20	         4300.40	         3021.90	         2612.00	         2705.90	         2782.50	         3156.40
YDR003W	           81.60	          416.00	          239.10	          128.00	          122.30	          143.80	           79.40
YDR004W	            NULL	            NULL	            NULL	           23.50	          102.90	            NULL	            NULL
YDR005C	          205.85	          515.10	          268.80	          254.30	          364.80	          195.10	          274.90
YDR006C	          235.05	          289.90	          222.90	          136.70	          170.80	          291.80	          268.30
YDR007W	          676.85	         1114.30	          830.20	          682.10	          807.80	          941.10	         1148.10
YDR008C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	           79.40
YDR009W	            NULL	          141.20	            NULL	            NULL	            NULL	            NULL	            NULL
YDR010C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDR011W	          948.15	         1050.30	          560.30	          544.90	          494.10	          560.20	          780.30
YDR012W	        12034.10	         8635.30	         4779.00	         2654.40	         4067.30	         6106.00	         6430.50
