ORF	       Alkali 0m	      Alkali 10m	      Alkali 20m	      Alkali 40m	      Alkali 60m	      Alkali 80m	     Alkali 100m
YMR188C	          265.95	          415.00	          162.20	          275.80	          237.50	          221.30	          233.80
YMR189W	          446.00	         2659.20	         2908.60	          704.30	          573.30	          480.50	          557.70
YMR190C	          106.60	           93.50	            NULL	           65.70	            NULL	           90.40	          146.10
YMR191W	          183.25	          752.20	          218.20	          416.60	          345.10	          662.70	          756.10
YMR192W	           46.40	          169.10	            NULL	           61.20	            NULL	            NULL	          100.00
YMR193C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YMR193W	          157.30	          292.00	            NULL	          138.70	          188.60	          130.20	          124.00
YMR194C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YMR194W	         7301.75	         6955.40	         6671.00	         2932.90	         4299.60	         5117.20	         4548.10
YMR195W	          479.55	         1291.20	          505.50	          531.40	          553.80	          715.40	          568.80
YMR196W	           32.00	          843.60	          232.20	           74.60	           94.10	          180.20	          123.00
YMR197C	          117.90	          755.40	            NULL	          249.00	          172.30	          463.80	          387.00
YMR198W	          121.20	            NULL	            NULL	           24.70	            NULL	            NULL	          181.20
YMR199W	          154.40	            NULL	          176.20	          131.30	          120.20	          181.50	          361.10
YMR200W	          514.00	          588.30	          435.40	          471.80	          524.40	          610.10	          916.70
YMR201C	           98.40	            NULL	            NULL	           15.80	           94.10	           66.00	          108.30
YMR202W	         4010.80	         2321.90	         3062.70	         1999.30	         2565.30	         2292.60	         3030.00
YMR203W	          644.30	          972.90	          596.50	          900.20	          752.60	          726.90	          941.60
YMR204C	           48.00	            NULL	            NULL	           23.20	            NULL	            NULL	            NULL
