ORF	         NaCl 0m	        NaCl 15m	        NaCl 30m	        NaCl 45m	        NaCl 60m	       NaCl 120m
YIR015W	            NULL	            NULL	           82.80	            NULL	            NULL	            NULL
YIR016W	          925.00	          520.20	         2565.80	         3618.10	         1146.40	         1727.10
YIR017C	           80.00	            NULL	          409.60	          478.60	          309.10	          254.10
YIR018W	          432.00	          257.90	          556.80	          526.40	          488.10	          755.70
YIR019C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIR020C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIR020W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIR021W	          611.00	           27.50	          210.10	          316.80	          218.10	          638.20
YIR022W	          900.00	          672.60	          545.30	          791.50	          874.90	          949.00
YIR023W	          342.00	          114.00	          316.00	          326.50	          307.60	            NULL
YIR024C	           95.00	            NULL	          138.80	          119.10	          149.90	            NULL
YIR025W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIR026C	         2018.00	         1090.90	          385.80	            NULL	          398.60	          711.60
YIR027C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YIR028W	            NULL	            NULL	            NULL	            NULL	            NULL	          178.20
YIR029W	            NULL	            NULL	            NULL	            NULL	          119.50	            NULL
